text,intent
"My parcel has not been delivered",delivery_issue
"My delivery is late",delivery_issue
"Where can I find my shipment?",delivery_issue
"My order is still in transit",delivery_issue
"My package has been delayed",delivery_issue
"I am waiting for my package",delivery_issue
"When will my order arrive?",delivery_issue
"My delivery has not arrived yet",delivery_issue
"My shipment is taking too long",delivery_issue
"I have been waiting for my order",delivery_issue
"Can you tell me where my package is?",delivery_issue
"My package hasn't arrived",delivery_issue
"I expected my order yesterday",delivery_issue
"My order delivery is late",delivery_issue
"Please check my delivery status",delivery_issue
"Can you track my shipment?",delivery_issue
"Where is my delivery?",delivery_issue
"My order hasn't been delivered",delivery_issue
"The package is still missing",delivery_issue
"My shipment has not arrived",delivery_issue
"I need an update on my delivery",delivery_issue
"When can I expect my package?",delivery_issue
"My package delivery is delayed",delivery_issue
"The courier has not delivered my order",delivery_issue
"My order is stuck in transit",delivery_issue
"I haven't received my parcel",delivery_issue
"Please tell me when my order will arrive",delivery_issue
"My shipment is late",delivery_issue
"I am still waiting for my package",delivery_issue
"Can you provide my tracking status?",delivery_issue
"My package hasn't been delivered yet",delivery_issue
"Why is my order taking so long?",delivery_issue
"I need to know the location of my package",delivery_issue
"Please help me track my delivery",delivery_issue
"My delivery date has passed",delivery_issue
"The package was supposed to arrive today",delivery_issue
"My order is overdue",delivery_issue
"I cannot find my shipment",delivery_issue
"Please give me an update about my package",delivery_issue
"My parcel is stuck somewhere",delivery_issue
"The tracking information has not changed",delivery_issue
"My delivery is overdue",delivery_issue
"Can you tell me when my shipment will arrive?",delivery_issue
"My order has been in transit for too long",delivery_issue
"I still haven't received my package",delivery_issue
"Please check where my order is",delivery_issue
"The courier hasn't arrived",delivery_issue
"Why hasn't my package arrived?",delivery_issue
"My shipment delivery is taking longer than expected",delivery_issue
"I need my money back",billing_refund
"Please return my payment",billing_refund
"I would like to get a refund",billing_refund
"How do I request a refund?",billing_refund
"I was billed twice for the same order",billing_refund
"I see a duplicate charge",billing_refund
"Why did I get charged two times?",billing_refund
"I was charged more than expected",billing_refund
"There is an incorrect charge on my account",billing_refund
"Please check my payment",billing_refund
"I don't recognize this charge",billing_refund
"My payment amount is incorrect",billing_refund
"I need help with a payment issue",billing_refund
"Why is there an extra charge?",billing_refund
"I was charged an additional amount",billing_refund
"Can I get my payment refunded?",billing_refund
"Please process my refund",billing_refund
"When will I receive my refund?",billing_refund
"My refund has not arrived",billing_refund
"I have not received my refund yet",billing_refund
"Why is my refund taking so long?",billing_refund
"Please return the money to my account",billing_refund
"I want to dispute this charge",billing_refund
"I was charged the wrong amount",billing_refund
"My bill is higher than expected",billing_refund
"Why did I pay extra?",billing_refund
"I was charged an unexpected fee",billing_refund
"There is an extra payment on my bill",billing_refund
"I need a refund for my purchase",billing_refund
"Please refund the amount I paid",billing_refund
"Can you reverse my payment?",billing_refund
"I want my payment returned",billing_refund
"The amount charged is incorrect",billing_refund
"I was charged twice for my purchase",billing_refund
"Please investigate this duplicate payment",billing_refund
"I need assistance with a duplicate charge",billing_refund
"Why was I charged twice for the order?",billing_refund
"My card was charged twice",billing_refund
"I received an incorrect bill",billing_refund
"Can you explain this charge?",billing_refund
"I want to know why I was charged extra",billing_refund
"Please check why my bill is higher",billing_refund
"I need to get a payment refunded",billing_refund
"How long does a refund take?",billing_refund
"My refund is still pending",billing_refund
"The refund has not been credited",billing_refund
"I haven't received the refunded amount",billing_refund
"Please help me with my refund",billing_refund
"I want to report an incorrect payment",billing_refund
"The software is not working",technical_support
"The application is crashing",technical_support
"I keep getting an error",technical_support
"The website does not work",technical_support
"I cannot open the application",technical_support
"The app crashes when I start it",technical_support
"The website keeps showing an error",technical_support
"My application is not responding",technical_support
"The app suddenly stopped working",technical_support
"I am having technical problems",technical_support
"Something is wrong with the application",technical_support
"The website keeps crashing",technical_support
"I cannot use the application",technical_support
"The app freezes when I open it",technical_support
"The application gives me an error",technical_support
"I am unable to use the website",technical_support
"The system is not working properly",technical_support
"The app stopped responding",technical_support
"I am getting an error message",technical_support
"The website is down",technical_support
"My application won't start",technical_support
"The app is freezing",technical_support
"I cannot open the website",technical_support
"The system keeps failing",technical_support
"There is a technical problem with the app",technical_support
"My application is malfunctioning",technical_support
"The website is not loading",technical_support
"The app does not respond",technical_support
"I cannot access the application because it crashes",technical_support
"The software keeps giving errors",technical_support
"I am facing an application error",technical_support
"The website stopped working",technical_support
"The app is not responding to my commands",technical_support
"I need technical help with the application",technical_support
"My application keeps closing",technical_support
"The program crashes every time",technical_support
"I cannot launch the app",technical_support
"The website keeps freezing",technical_support
"I am unable to open the software",technical_support
"The application shows a technical error",technical_support
"My app is malfunctioning",technical_support
"The website has stopped responding",technical_support
"I am having trouble using the software",technical_support
"The application will not load",technical_support
"The app shows an error when I open it",technical_support
"My website access is not working",technical_support
"I need help fixing the application",technical_support
"The system keeps showing errors",technical_support
"The app is broken",technical_support
"Please help me resolve this technical issue",technical_support
"I don't want this order anymore",order_cancellation
"Please stop my order",order_cancellation
"I would like to cancel my purchase",order_cancellation
"Can you cancel my order?",order_cancellation
"I need to stop an order",order_cancellation
"Please cancel the order I placed",order_cancellation
"I want to withdraw my order",order_cancellation
"Can I stop my recent purchase?",order_cancellation
"I changed my mind and want to cancel",order_cancellation
"Please stop the delivery of my order",order_cancellation
"I no longer need this order",order_cancellation
"How can I cancel my order?",order_cancellation
"I want to cancel a recent purchase",order_cancellation
"Please cancel my latest order",order_cancellation
"I need my order cancelled",order_cancellation
"Can you stop processing my order?",order_cancellation
"I want to withdraw my purchase",order_cancellation
"Please don't ship my order",order_cancellation
"Can I cancel the order before it ships?",order_cancellation
"I no longer want the product",order_cancellation
"Please remove my order",order_cancellation
"I made a mistake with my order and want to cancel it",order_cancellation
"I want to stop my purchase",order_cancellation
"Please cancel the transaction",order_cancellation
"I need to cancel something I ordered",order_cancellation
"Can my order be cancelled?",order_cancellation
"Please cancel my pending order",order_cancellation
"I want to cancel an order I recently placed",order_cancellation
"I don't need this purchase anymore",order_cancellation
"Please stop my pending order",order_cancellation
"Can you cancel the order for me?",order_cancellation
"I changed my mind about the purchase",order_cancellation
"Please cancel my order immediately",order_cancellation
"I want to cancel before delivery",order_cancellation
"Can I stop my order from being shipped?",order_cancellation
"I need to withdraw my order",order_cancellation
"Please cancel my purchase request",order_cancellation
"I no longer want my order",order_cancellation
"Can you stop this order?",order_cancellation
"I want this order cancelled",order_cancellation
"Please cancel the item I ordered",order_cancellation
"I need to stop an order that I placed",order_cancellation
"Can I cancel my recent order?",order_cancellation
"Please don't process my order",order_cancellation
"I want to cancel my pending purchase",order_cancellation
"Cancel my order before it is shipped",order_cancellation
"I accidentally placed an order and want to cancel it",order_cancellation
"Please help me cancel an order",order_cancellation
"I want to stop the order processing",order_cancellation
"Is it possible to cancel my order?",order_cancellation
"I cannot sign into my account",account_access
"I forgot the password for my account",account_access
"I need to reset my account password",account_access
"My login is not working",account_access
"I am locked out of my account",account_access
"How do I regain access to my account?",account_access
"I cannot get into my account",account_access
"My password is not working",account_access
"I lost my account password",account_access
"I need help accessing my account",account_access
"My account has been locked",account_access
"I cannot log into my account",account_access
"I am having trouble signing in",account_access
"Please help me reset my password",account_access
"I don't remember my password",account_access
"How can I unlock my account?",account_access
"I am unable to sign in",account_access
"My account login is blocked",account_access
"I cannot access my profile",account_access
"My password reset is not working",account_access
"I need to recover my account",account_access
"Why can't I log into my account?",account_access
"I forgot my login password",account_access
"My account is inaccessible",account_access
"Please help me get back into my account",account_access
"I cannot remember my password",account_access
"I am locked out of my profile",account_access
"My login credentials are not working",account_access
"How can I recover my password?",account_access
"I need to change my forgotten password",account_access
"Why is my account locked?",account_access
"I cannot sign in to my profile",account_access
"Please unlock my account",account_access
"I lost access to my account",account_access
"My account access has been blocked",account_access
"I need assistance with account login",account_access
"The login page won't let me in",account_access
"I am unable to access my profile",account_access
"Can you help me reset my login?",account_access
"My password reset link is not working",account_access
"I cannot remember my login details",account_access
"How do I access my locked account?",account_access
"My sign in is failing",account_access
"I need to regain access to my profile",account_access
"My account won't let me sign in",account_access
"Please help me recover my login",account_access
"I am having problems with my account access",account_access
"Can you help me unlock my profile?",account_access
"I cannot enter my account",account_access
"My account login keeps failing",account_access
"I want information about available courses",course_information
"How can I enroll in this course?",course_information
"What courses are currently available?",course_information
"Please send me the course details",course_information
"Is this course available online?",course_information
"I need information about my admission",education
"When will the next academic semester begin?",education
"How can I apply for admission?",education
"Please help me with my university application",education
"What are the admission requirements?",education
"I have received my offer letter",offer_letter
"When will I receive my offer letter?",offer_letter
"Please send me my employment offer letter",offer_letter
"I have not received my offer letter yet",offer_letter
"Can you explain the details in my offer letter?",offer_letter
"I need help applying for a government service",government_services
"Where can I apply for a government certificate?",government_services
"How do I check my government application status?",government_services
"I need information about government services",government_services
"Please help me with my government application",government_services
"I have a problem with my bank payment",financial_services
"How can I check my account balance?",financial_services
"I need help with a financial transaction",financial_services
"Why was money deducted from my account?",financial_services
"I want information about my financial account",financial_services
"I want information about the admission process",education
"What are the eligibility requirements for admission?",education
"When does the academic session start?",education
"Can you tell me about the college admission process?",education
"I need information about undergraduate programs",education
"What courses do you offer?",course_inquiry
"Do you have a Python programming course?",course_inquiry
